Date,Open,High,Low,Close,Adj Close,Volume
20-Aug-14,16910.03,16994.89,16896.55,16979.13,16979.13,619600
21-Aug-14,16983.88,17074.59,16983.88,17039.49,17039.49,651600
22-Aug-14,17038.27,17064.28,16984.52,17001.22,17001.22,643300
25-Aug-14,17011.81,17124.74,17011.81,17076.87,17076.87,574000
26-Aug-14,17079.57,17153.8,17079.57,17106.7,17106.7,507100
27-Aug-14,17111.03,17134.6,17090.61,17122.01,17122.01,616900
28-Aug-14,17119.06,17119.06,17018.33,17079.57,17079.57,518600
29-Aug-14,17083.42,17110.42,17035.38,17098.45,17098.45,815000
2-Sep-14,17097.42,17113.51,17009.07,17067.56,17067.56,648200
3-Sep-14,17067.24,17151.89,17060.21,17078.28,17078.28,627700
4-Sep-14,17083.61,17161.55,17030.12,17069.58,17069.58,681200
5-Sep-14,17065.89,17137.36,17009.62,17137.36,17137.36,766300
8-Sep-14,17131.71,17137.88,17079.17,17111.42,17111.42,656400
9-Sep-14,17110.39,17111.55,16993.29,17013.87,17013.87,690300
10-Sep-14,17016.05,17080.27,16974.57,17068.71,17068.71,767800
11-Sep-14,17057.41,17057.41,16983.88,17049,17049,636500
12-Sep-14,17044.05,17044.05,16937.67,16987.51,16987.51,828200
15-Sep-14,16988.76,17051.85,16951.38,17031.14,17031.14,717400
16-Sep-14,17027.16,17167.05,16985.55,17131.97,17131.97,732000
17-Sep-14,17131.01,17221.11,17089.01,17156.85,17156.85,878100
18-Sep-14,17163.73,17275.37,17163.73,17265.99,17265.99,853000
19-Sep-14,17267.21,17350.64,17257.46,17279.74,17279.74,3496200
22-Sep-14,17271.71,17277.88,17159.36,17172.68,17172.68,743000
23-Sep-14,17165.91,17171.88,17055.87,17055.87,17055.87,770900
24-Sep-14,17056.64,17226.6,17033.93,17210.06,17210.06,805300
25-Sep-14,17204.86,17204.86,16945.8,16945.8,16945.8,935200
26-Sep-14,16948.62,17148.15,16948.11,17113.15,17113.15,746700
29-Sep-14,17107.69,17107.69,16934.43,17071.22,17071.22,702200
30-Sep-14,17070.45,17145.1,17017.11,17042.9,17042.9,1022900
1-Oct-14,17040.46,17041.16,16776.13,16804.71,16804.71,1042400
2-Oct-14,16808.27,16857.25,16674.04,16801.05,16801.05,754900
3-Oct-14,16802.2,17027.84,16802.2,17009.69,17009.69,879400
6-Oct-14,17010.34,17099.39,16930.38,16991.91,16991.91,6554500
7-Oct-14,16988.25,16988.25,16715.79,16719.39,16719.39,794200
8-Oct-14,16718.65,17006.91,16663.26,16994.22,16994.22,1069300
9-Oct-14,16989.37,16989.37,16649.04,16659.25,16659.25,932100
10-Oct-14,16654.88,16757.6,16543.91,16544.1,16544.1,1363700
13-Oct-14,16535.43,16602.41,16310.47,16321.07,16321.07,1078300
14-Oct-14,16321.9,16463.67,16273.64,16315.19,16315.19,1104100
